2025-04-17 23:58:39.249 | INFO     | open_manus.app.agent.manus:set_progress_callback:62 - Progress callback set for Manus agent
2025-04-17 23:58:39.249 | INFO     | open_manus.app.agent.base:run:141 - Executing step 1/20
2025-04-17 23:58:46.637 | INFO     | open_manus.app.llm:update_token_count:250 - Token usage: Input=3058, Completion=31, Cumulative Input=3058, Cumulative Completion=31, Total=3089, Cumulative Total=3089
2025-04-17 23:58:46.638 | INFO     | open_manus.app.agent.toolcall:think:111 - ✨ Manus's thoughts: 
2025-04-17 23:58:46.638 | INFO     | open_manus.app.agent.toolcall:think:112 - 🛠️ Manus selected 1 tools to use
2025-04-17 23:58:46.638 | INFO     | open_manus.app.agent.toolcall:think:114 - 🧰 Tools being prepared: ['browser_use']
2025-04-17 23:58:46.638 | INFO     | open_manus.app.agent.toolcall:think:117 - 🔧 Tool arguments: {"action":"web_search","query":"Attention Is All You Need paper PDF"}
2025-04-17 23:58:46.639 | INFO     | open_manus.app.agent.toolcall:report_progress:64 - [Progress - browser_use]: Starting tool execution
2025-04-17 23:58:46.639 | INFO     | open_manus.app.agent.manus:report_progress:76 - Progress update: [browser_use] Starting tool execution
2025-04-17 23:58:46.639 | INFO     | open_manus.app.agent.toolcall:report_progress:64 - [Progress - browser_use]: Starting execution of browser_use
2025-04-17 23:58:46.639 | INFO     | open_manus.app.agent.manus:report_progress:76 - Progress update: [browser_use] Starting execution of browser_use
2025-04-17 23:58:46.639 | INFO     | open_manus.app.agent.toolcall:report_progress:64 - [Progress - browser_use]: Executing with arguments: {'action': 'web_search', 'query': 'Attention Is All You Need paper PDF'}
2025-04-17 23:58:46.640 | INFO     | open_manus.app.agent.manus:report_progress:76 - Progress update: [browser_use] Executing with arguments: {'action': 'web_search', 'query': 'Attention Is All You Need paper PDF'}
2025-04-17 23:58:46.640 | INFO     | open_manus.app.agent.toolcall:execute_tool:239 - 🔧 Activating tool: 'browser_use'...
2025-04-17 23:58:47.299 | INFO     | open_manus.app.tool.web_search:_try_all_engines:299 - 🔎 Attempting search with Google...
2025-04-17 23:58:49.618 | INFO     | open_manus.app.agent.toolcall:report_progress:64 - [Progress - browser_use]: Completed execution of browser_use
2025-04-17 23:58:49.618 | INFO     | open_manus.app.agent.manus:report_progress:76 - Progress update: [browser_use] Completed execution of browser_use
2025-04-17 23:58:49.619 | INFO     | open_manus.app.agent.toolcall:act:180 - 🎯 Tool 'browser_use' completed. Result: Observed output of cmd `browser_use` executed:
